filename, wordcount, chapter_number
117c_claudia_and_the_terrible_truth_7.txt, 1585, 7
m22c_stacey_and_the_haunted_masquerade_10.txt, 1650, 10
120c_mary_anne_and_the_playground_fight_15.txt, 609, 15
024c_kristy_and_the_mothers_day_surprise_12.txt, 1689, 12
049c_claudia_and_the_genius_of_elm_street_3.txt, 2035, 3
082c_jessi_and_the_troublemaker_9.txt, 1065, 9
m04c_kristy_and_the_missing_child_9.txt, 1774, 9
014c_hello_mallory_3.txt, 2380, 3
035c_jessis_babysitter_13.txt, 1838, 13
118c_kristy_thomas_dog_trainer_11.txt, 1102, 11
m07c_dawn_and_the_disappearing_dogs_3.txt, 1792, 3
088c_farewell_dawn_6.txt, 1403, 6
m31c_mary_anne_and_the_music_box_secret_3.txt, 1931, 3
059c_mallory_hates_boys_and_gym_4.txt, 1765, 4
m03c_mallory_and_the_ghost_cat_9.txt, 2033, 9
m11c_claudia_and_the_mystery_at_the_museum_3.txt, 1910, 3
m01c_stacey_and_the_mystery_ring_13.txt, 1969, 13
m20c_mary_anne_and_the_zoo_mystery_11.txt, 1738, 11
serr2c_logan_bruno_boy_babysitter_15.txt, 1133, 15
110c_abby_and_the_bad_sport_9.txt, 951, 9
066c_maid_mary_anne_13.txt, 1665, 13
076c_staceys_lie_14.txt, 2237, 14
063c_claudias_freind_friend_4.txt, 1606, 4
002c_claudia_and_the_phantom_phone_calls_2.txt, 1894, 2
116c_abby_and_the_best_kid_ever_10.txt, 2258, 10
076c_staceys_lie_15.txt, 1263, 15
066c_maid_mary_anne_12.txt, 2427, 12
055c_jessis_gold_medal_1.txt, 2488, 1
002c_claudia_and_the_phantom_phone_calls_3.txt, 1833, 3
116c_abby_and_the_best_kid_ever_11.txt, 865, 11
063c_claudias_freind_friend_5.txt, 1532, 5
110c_abby_and_the_bad_sport_8.txt, 2870, 8
serr2c_logan_bruno_boy_babysitter_14.txt, 1373, 14
059c_mallory_hates_boys_and_gym_5.txt, 1014, 5
m03c_mallory_and_the_ghost_cat_8.txt, 2470, 8
m31c_mary_anne_and_the_music_box_secret_2.txt, 2060, 2
m20c_mary_anne_and_the_zoo_mystery_10.txt, 2103, 10
m01c_stacey_and_the_mystery_ring_12.txt, 1718, 12
m11c_claudia_and_the_mystery_at_the_museum_2.txt, 2397, 2
m07c_dawn_and_the_disappearing_dogs_2.txt, 2280, 2
088c_farewell_dawn_7.txt, 1348, 7
014c_hello_mallory_2.txt, 1772, 2
m04c_kristy_and_the_missing_child_8.txt, 1896, 8
035c_jessis_babysitter_12.txt, 1671, 12
082c_jessi_and_the_troublemaker_8.txt, 2370, 8
118c_kristy_thomas_dog_trainer_10.txt, 1038, 10
049c_claudia_and_the_genius_of_elm_street_2.txt, 2167, 2
024c_kristy_and_the_mothers_day_surprise_13.txt, 1112, 13
120c_mary_anne_and_the_playground_fight_14.txt, 1405, 14
m27c_claudia_and_the_lighthouse_ghost_15.txt, 1865, 15
046c_mary_anne_misses_logan_13.txt, 1741, 13
m22c_stacey_and_the_haunted_masquerade_11.txt, 2150, 11
117c_claudia_and_the_terrible_truth_6.txt, 1776, 6
080c_mallory_pike_no_1_fan_8.txt, 1524, 8
093c_mary_anne_and_the_memory_garden_7.txt, 1766, 7
086c_mary_anne_and_camp_bsc_13.txt, 1989, 13
030c_mary_anne_and_the_great_romance_9.txt, 1675, 9
078c_claudia_and_crazy_peaches_9.txt, 1740, 9
066c_maid_mary_anne_5.txt, 1348, 5
123c_claudias_big_party_3.txt, 1590, 3
012c_claudia_and_the_new_girl_14.txt, 1627, 14
m33c_stacey_and_the_stolen_hearts_5.txt, 1935, 5
013c_goodbye_stacey_goodbye_1.txt, 2102, 1
061c_jessi_and_the_awful_secret_12.txt, 1285, 12
051c_staceys_ex_best_friend_14.txt, 1613, 14
m06c_the_mystery_at_claudias_house_13.txt, 1714, 13
091c_claudia_and_the_first_thanksgiving_6.txt, 1362, 6
127c_abbys_un_valentine_11.txt, 1382, 11
024c_kristy_and_the_mothers_day_surprise_4.txt, 1909, 4
062c_kristy_and_the_worst_kid_ever_12.txt, 1215, 12
072c_dawn_and_the_we_heart_kids_club_12.txt, 1402, 12
009c_the_ghost_at_dawns_house_3.txt, 1884, 3
119c_staceys_ex_boyfriend_15.txt, 1118, 15
056c_keep_out_claudia_10.txt, 1925, 10
008c_boy_crazy_stacey_3.txt, 1766, 3
070c_stacey_and_the_cheerleaders_5.txt, 1798, 5
122c_kristy_in_charge_13.txt, 1123, 13
095c_kristy_plus_bart_equals_questionmark_8.txt, 1631, 8
008c_boy_crazy_stacey_15.txt, 1476, 15
m24c_mary_anne_and_the_silent_witness_4.txt, 1637, 4
051c_staceys_ex_best_friend_8.txt, 1494, 8
m34c_mary_anne_and_the_haunted_bookstore_9.txt, 2251, 9
m26c_dawn_schafer_undercover_babysitter_14.txt, 1712, 14
047c_mallory_on_strike_12.txt, 2098, 12
083c_stacey_vs_the_bsc_2.txt, 2124, 2
m33c_stacey_and_the_stolen_hearts_15.txt, 1502, 15
060c_mary_annes_makeover_7.txt, 1425, 7
serr3c_shannons_story_2.txt, 1678, 2
005c_dawn_and_the_impossible_three_2.txt, 1945, 2
001c_kristys_great_idea_2.txt, 1297, 2
004c_mary_anne_saves_the_day_7.txt, 2201, 7
031c_dawns_wicked_stepsister_15.txt, 1692, 15
007c_claudia_and_mean_jeanine_7.txt, 2019, 7
m04c_kristy_and_the_missing_child_10.txt, 1570, 10
058c_staceys_choice_13.txt, 1365, 13
m07c_dawn_and_the_disappearing_dogs_10.txt, 1745, 10
131c_the_fire_at_mary_annes_house_5.txt, 1887, 5
112c_kristy_and_the_sister_war_5.txt, 1809, 5
112c_kristy_and_the_sister_war_7.txt, 1950, 7
131c_the_fire_at_mary_annes_house_7.txt, 2165, 7
012c_claudia_and_the_new_girl_2.txt, 1893, 2
m07c_dawn_and_the_disappearing_dogs_12.txt, 1577, 12
056c_keep_out_claudia_8.txt, 1514, 8
011c_kristy_and_the_snobs_14.txt, 1731, 14
058c_staceys_choice_11.txt, 2062, 11
m04c_kristy_and_the_missing_child_12.txt, 1787, 12
007c_claudia_and_mean_jeanine_5.txt, 1848, 5
099c_staceys_broken_heart_2.txt, 4293, 2
004c_mary_anne_saves_the_day_5.txt, 1834, 5
m09c_kristy_and_the_haunted_mansion_15.txt, 2053, 15
108c_dont_give_up_mallory_14.txt, 1924, 14
060c_mary_annes_makeover_5.txt, 2103, 5
m13c_mary_anne_and_the_library_mystery_2.txt, 2451, 2
047c_mallory_on_strike_10.txt, 1876, 10
079c_mary_anne_breaks_the_rules_9.txt, 1378, 9
070c_stacey_and_the_cheerleaders_7.txt, 1378, 7
m24c_mary_anne_and_the_silent_witness_6.txt, 1748, 6
085c_claudia_kishi_live_from_wsto_15.txt, 463, 15
122c_kristy_in_charge_11.txt, 2508, 11
008c_boy_crazy_stacey_1.txt, 2504, 1
056c_keep_out_claudia_12.txt, 1545, 12
m05c_mary_anne_and_the_secret_in_the_attic_8.txt, 1788, 8
045c_kristy_and_the_baby_parade_8.txt, 1550, 8
m23c_abby_and_the_secret_society_9.txt, 1452, 9
m12c_dawn_and_the_surfer_ghost_2.txt, 2222, 2
062c_kristy_and_the_worst_kid_ever_10.txt, 2698, 10
031c_dawns_wicked_stepsister_2.txt, 2357, 2
024c_kristy_and_the_mothers_day_surprise_6.txt, 1761, 6
072c_dawn_and_the_we_heart_kids_club_10.txt, 1414, 10
009c_the_ghost_at_dawns_house_1.txt, 2086, 1
091c_claudia_and_the_first_thanksgiving_4.txt, 1959, 4
m06c_the_mystery_at_claudias_house_11.txt, 1856, 11
061c_jessi_and_the_awful_secret_10.txt, 1247, 10
013c_goodbye_stacey_goodbye_3.txt, 1543, 3
127c_abbys_un_valentine_13.txt, 1536, 13
066c_maid_mary_anne_7.txt, 1248, 7
041c_mary_anne_vs_logan_15.txt, 1547, 15
086c_mary_anne_and_camp_bsc_11.txt, 1317, 11
m33c_stacey_and_the_stolen_hearts_7.txt, 1591, 7
123c_claudias_big_party_1.txt, 2467, 1
040c_claudia_and_the_middle_school_mystery_15.txt, 1372, 15
093c_mary_anne_and_the_memory_garden_5.txt, 2603, 5
117c_claudia_and_the_terrible_truth_4.txt, 1747, 4
m22c_stacey_and_the_haunted_masquerade_13.txt, 2527, 13
046c_mary_anne_misses_logan_11.txt, 1538, 11
m25c_kristy_and_the_middle_school_vandal_9.txt, 1144, 9
073c_mary_anne_and_miss_priss_14.txt, 1517, 14
118c_kristy_thomas_dog_trainer_12.txt, 982, 12
035c_jessis_babysitter_10.txt, 1774, 10
024c_kristy_and_the_mothers_day_surprise_11.txt, 1772, 11
m01c_stacey_and_the_mystery_ring_10.txt, 1996, 10
m20c_mary_anne_and_the_zoo_mystery_12.txt, 2107, 12
108c_dont_give_up_mallory_9.txt, 1409, 9
059c_mallory_hates_boys_and_gym_7.txt, 1360, 7
088c_farewell_dawn_5.txt, 1664, 5
116c_abby_and_the_best_kid_ever_13.txt, 1528, 13
002c_claudia_and_the_phantom_phone_calls_1.txt, 2650, 1
063c_claudias_freind_friend_7.txt, 1587, 7
055c_jessis_gold_medal_3.txt, 1766, 3
066c_maid_mary_anne_10.txt, 2214, 10
005c_dawn_and_the_impossible_three_15.txt, 2076, 15
077c_dwn_and_whitney_friends_forever_8.txt, 1595, 8
m36c_kristy_and_the_cat_burglar_9.txt, 1588, 9
005c_dawn_and_the_impossible_three_14.txt, 1982, 14
m36c_kristy_and_the_cat_burglar_8.txt, 1506, 8
077c_dwn_and_whitney_friends_forever_9.txt, 1886, 9
055c_jessis_gold_medal_2.txt, 2952, 2
063c_claudias_freind_friend_6.txt, 1927, 6
116c_abby_and_the_best_kid_ever_12.txt, 946, 12
066c_maid_mary_anne_11.txt, 2301, 11
088c_farewell_dawn_4.txt, 1960, 4
m07c_dawn_and_the_disappearing_dogs_1.txt, 2134, 1
m20c_mary_anne_and_the_zoo_mystery_13.txt, 2081, 13
m01c_stacey_and_the_mystery_ring_11.txt, 1515, 11
m11c_claudia_and_the_mystery_at_the_museum_1.txt, 1968, 1
059c_mallory_hates_boys_and_gym_6.txt, 1684, 6
108c_dont_give_up_mallory_8.txt, 1503, 8
m31c_mary_anne_and_the_music_box_secret_1.txt, 2082, 1
049c_claudia_and_the_genius_of_elm_street_1.txt, 1593, 1
024c_kristy_and_the_mothers_day_surprise_10.txt, 1626, 10
118c_kristy_thomas_dog_trainer_13.txt, 991, 13
035c_jessis_babysitter_11.txt, 1507, 11
014c_hello_mallory_1.txt, 1828, 1
073c_mary_anne_and_miss_priss_15.txt, 833, 15
m22c_stacey_and_the_haunted_masquerade_12.txt, 1995, 12
117c_claudia_and_the_terrible_truth_5.txt, 1444, 5
m25c_kristy_and_the_middle_school_vandal_8.txt, 2930, 8
046c_mary_anne_misses_logan_10.txt, 1494, 10
093c_mary_anne_and_the_memory_garden_4.txt, 1606, 4
040c_claudia_and_the_middle_school_mystery_14.txt, 1576, 14
m33c_stacey_and_the_stolen_hearts_6.txt, 1526, 6
066c_maid_mary_anne_6.txt, 1672, 6
086c_mary_anne_and_camp_bsc_10.txt, 1570, 10
041c_mary_anne_vs_logan_14.txt, 1742, 14
127c_abbys_un_valentine_12.txt, 1586, 12
061c_jessi_and_the_awful_secret_11.txt, 1101, 11
m06c_the_mystery_at_claudias_house_10.txt, 1776, 10
091c_claudia_and_the_first_thanksgiving_5.txt, 1494, 5
013c_goodbye_stacey_goodbye_2.txt, 1539, 2
072c_dawn_and_the_we_heart_kids_club_11.txt, 1414, 11
024c_kristy_and_the_mothers_day_surprise_7.txt, 1773, 7
031c_dawns_wicked_stepsister_3.txt, 1696, 3
062c_kristy_and_the_worst_kid_ever_11.txt, 1888, 11
m12c_dawn_and_the_surfer_ghost_3.txt, 1879, 3
m23c_abby_and_the_secret_society_8.txt, 1627, 8
m05c_mary_anne_and_the_secret_in_the_attic_9.txt, 1813, 9
056c_keep_out_claudia_13.txt, 1597, 13
045c_kristy_and_the_baby_parade_9.txt, 1659, 9
085c_claudia_kishi_live_from_wsto_14.txt, 1759, 14
m24c_mary_anne_and_the_silent_witness_7.txt, 1823, 7
122c_kristy_in_charge_10.txt, 1559, 10
070c_stacey_and_the_cheerleaders_6.txt, 1865, 6
060c_mary_annes_makeover_4.txt, 1116, 4
108c_dont_give_up_mallory_15.txt, 635, 15
079c_mary_anne_breaks_the_rules_8.txt, 1422, 8
083c_stacey_vs_the_bsc_1.txt, 1976, 1
047c_mallory_on_strike_11.txt, 1120, 11
m13c_mary_anne_and_the_library_mystery_3.txt, 2037, 3
005c_dawn_and_the_impossible_three_1.txt, 2445, 1
serr3c_shannons_story_1.txt, 2410, 1
m09c_kristy_and_the_haunted_mansion_14.txt, 1710, 14
099c_staceys_broken_heart_3.txt, 1225, 3
001c_kristys_great_idea_1.txt, 2319, 1
004c_mary_anne_saves_the_day_4.txt, 1711, 4
011c_kristy_and_the_snobs_15.txt, 1670, 15
007c_claudia_and_mean_jeanine_4.txt, 1547, 4
058c_staceys_choice_10.txt, 1713, 10
m04c_kristy_and_the_missing_child_13.txt, 1817, 13
056c_keep_out_claudia_9.txt, 1492, 9
131c_the_fire_at_mary_annes_house_6.txt, 1863, 6
112c_kristy_and_the_sister_war_6.txt, 1297, 6
m07c_dawn_and_the_disappearing_dogs_13.txt, 1808, 13
012c_claudia_and_the_new_girl_3.txt, 2001, 3
058c_staceys_choice_14.txt, 1914, 14
011c_kristy_and_the_snobs_11.txt, 1505, 11
012c_claudia_and_the_new_girl_7.txt, 1725, 7
112c_kristy_and_the_sister_war_2.txt, 2362, 2
098c_dawn_and_too_many_sitters_9.txt, 1699, 9
131c_the_fire_at_mary_annes_house_2.txt, 2118, 2
serr3c_shannons_story_5.txt, 1406, 5
005c_dawn_and_the_impossible_three_5.txt, 2206, 5
035c_jessis_babysitter_9.txt, 1445, 9
001c_kristys_great_idea_5.txt, 1534, 5
099c_staceys_broken_heart_7.txt, 1265, 7
m09c_kristy_and_the_haunted_mansion_10.txt, 2090, 10
031c_dawns_wicked_stepsister_12.txt, 1454, 12
070c_stacey_and_the_cheerleaders_2.txt, 2574, 2
122c_kristy_in_charge_14.txt, 1271, 14
129c_kristy_at_bat_9.txt, 1614, 9
m24c_mary_anne_and_the_silent_witness_3.txt, 1832, 3
008c_boy_crazy_stacey_12.txt, 1247, 12
085c_claudia_kishi_live_from_wsto_10.txt, 1264, 10
m26c_dawn_schafer_undercover_babysitter_13.txt, 1738, 13
m13c_mary_anne_and_the_library_mystery_7.txt, 1979, 7
047c_mallory_on_strike_15.txt, 2441, 15
083c_stacey_vs_the_bsc_5.txt, 1369, 5
108c_dont_give_up_mallory_11.txt, 2053, 11
m33c_stacey_and_the_stolen_hearts_12.txt, 1413, 12
m12c_dawn_and_the_surfer_ghost_7.txt, 1846, 7
024c_kristy_and_the_mothers_day_surprise_3.txt, 1645, 3
062c_kristy_and_the_worst_kid_ever_15.txt, 1552, 15
031c_dawns_wicked_stepsister_7.txt, 1892, 7
072c_dawn_and_the_we_heart_kids_club_15.txt, 1115, 15
009c_the_ghost_at_dawns_house_4.txt, 1698, 4
119c_staceys_ex_boyfriend_12.txt, 1186, 12
m28c_abby_and_the_mystery_baby_8.txt, 1662, 8
034c_mary_anne_and_too_many_boys_9.txt, 1410, 9
008c_boy_crazy_stacey_4.txt, 1813, 4
037c_dawn_and_the_older_boy_8.txt, 1529, 8
086c_mary_anne_and_camp_bsc_14.txt, 1532, 14
m08c_jessi_and_the_jewel_thieves_9.txt, 1861, 9
041c_mary_anne_vs_logan_10.txt, 1456, 10
066c_maid_mary_anne_2.txt, 3224, 2
123c_claudias_big_party_4.txt, 2354, 4
012c_claudia_and_the_new_girl_13.txt, 1685, 13
m33c_stacey_and_the_stolen_hearts_2.txt, 2354, 2
032c_kristy_and_the_secret_of_susan_9.txt, 1404, 9
013c_goodbye_stacey_goodbye_6.txt, 1798, 6
m06c_the_mystery_at_claudias_house_14.txt, 1827, 14
091c_claudia_and_the_first_thanksgiving_1.txt, 2553, 1
051c_staceys_ex_best_friend_13.txt, 1823, 13
061c_jessi_and_the_awful_secret_15.txt, 1579, 15
046c_mary_anne_misses_logan_14.txt, 1896, 14
m27c_claudia_and_the_lighthouse_ghost_12.txt, 1085, 12
117c_claudia_and_the_terrible_truth_1.txt, 1820, 1
006c_kristys_big_day_9.txt, 1649, 9
040c_claudia_and_the_middle_school_mystery_10.txt, 1436, 10
128c_claudia_and_the_little_liar_8.txt, 1802, 8
014c_hello_mallory_5.txt, 1610, 5
035c_jessis_babysitter_15.txt, 1544, 15
024c_kristy_and_the_mothers_day_surprise_14.txt, 1889, 14
049c_claudia_and_the_genius_of_elm_street_5.txt, 2310, 5
120c_mary_anne_and_the_playground_fight_13.txt, 1502, 13
073c_mary_anne_and_miss_priss_11.txt, 1284, 11
066c_maid_mary_anne_15.txt, 1004, 15
076c_staceys_lie_12.txt, 2379, 12
055c_jessis_gold_medal_6.txt, 1459, 6
002c_claudia_and_the_phantom_phone_calls_4.txt, 2003, 4
063c_claudias_freind_friend_2.txt, 3264, 2
m21c_claudia_and_the_recipe_for_danger_9.txt, 1813, 9
005c_dawn_and_the_impossible_three_10.txt, 1545, 10
serr2c_logan_bruno_boy_babysitter_13.txt, 1587, 13
m31c_mary_anne_and_the_music_box_secret_5.txt, 1756, 5
059c_mallory_hates_boys_and_gym_2.txt, 3301, 2
m11c_claudia_and_the_mystery_at_the_museum_5.txt, 1743, 5
104c_abbys_twin_8.txt, 1175, 8
m01c_stacey_and_the_mystery_ring_15.txt, 1493, 15
m07c_dawn_and_the_disappearing_dogs_5.txt, 1763, 5
m07c_dawn_and_the_disappearing_dogs_4.txt, 1950, 4
088c_farewell_dawn_1.txt, 2161, 1
059c_mallory_hates_boys_and_gym_3.txt, 2664, 3
m31c_mary_anne_and_the_music_box_secret_4.txt, 1869, 4
m01c_stacey_and_the_mystery_ring_14.txt, 1985, 14
104c_abbys_twin_9.txt, 1225, 9
m11c_claudia_and_the_mystery_at_the_museum_4.txt, 1822, 4
m21c_claudia_and_the_recipe_for_danger_8.txt, 1648, 8
serr2c_logan_bruno_boy_babysitter_12.txt, 1462, 12
005c_dawn_and_the_impossible_three_11.txt, 2002, 11
076c_staceys_lie_13.txt, 1242, 13
066c_maid_mary_anne_14.txt, 1389, 14
063c_claudias_freind_friend_3.txt, 1853, 3
002c_claudia_and_the_phantom_phone_calls_5.txt, 1227, 5
055c_jessis_gold_medal_7.txt, 1356, 7
073c_mary_anne_and_miss_priss_10.txt, 1874, 10
120c_mary_anne_and_the_playground_fight_12.txt, 1804, 12
049c_claudia_and_the_genius_of_elm_street_4.txt, 2151, 4
024c_kristy_and_the_mothers_day_surprise_15.txt, 1617, 15
014c_hello_mallory_4.txt, 1751, 4
035c_jessis_babysitter_14.txt, 1542, 14
128c_claudia_and_the_little_liar_9.txt, 1536, 9
093c_mary_anne_and_the_memory_garden_1.txt, 2080, 1
040c_claudia_and_the_middle_school_mystery_11.txt, 1773, 11
006c_kristys_big_day_8.txt, 2336, 8
m27c_claudia_and_the_lighthouse_ghost_13.txt, 1430, 13
046c_mary_anne_misses_logan_15.txt, 1521, 15
013c_goodbye_stacey_goodbye_7.txt, 1809, 7
032c_kristy_and_the_secret_of_susan_8.txt, 1319, 8
061c_jessi_and_the_awful_secret_14.txt, 1859, 14
051c_staceys_ex_best_friend_12.txt, 1828, 12
m06c_the_mystery_at_claudias_house_15.txt, 1921, 15
012c_claudia_and_the_new_girl_12.txt, 1698, 12
123c_claudias_big_party_5.txt, 2204, 5
m33c_stacey_and_the_stolen_hearts_3.txt, 1545, 3
041c_mary_anne_vs_logan_11.txt, 1689, 11
m08c_jessi_and_the_jewel_thieves_8.txt, 1745, 8
086c_mary_anne_and_camp_bsc_15.txt, 878, 15
066c_maid_mary_anne_3.txt, 2752, 3
037c_dawn_and_the_older_boy_9.txt, 1187, 9
008c_boy_crazy_stacey_5.txt, 2563, 5
m28c_abby_and_the_mystery_baby_9.txt, 1682, 9
034c_mary_anne_and_too_many_boys_8.txt, 1093, 8
009c_the_ghost_at_dawns_house_5.txt, 1419, 5
072c_dawn_and_the_we_heart_kids_club_14.txt, 1099, 14
119c_staceys_ex_boyfriend_13.txt, 1539, 13
031c_dawns_wicked_stepsister_6.txt, 1597, 6
062c_kristy_and_the_worst_kid_ever_14.txt, 1324, 14
024c_kristy_and_the_mothers_day_surprise_2.txt, 2203, 2
m12c_dawn_and_the_surfer_ghost_6.txt, 1991, 6
047c_mallory_on_strike_14.txt, 2259, 14
083c_stacey_vs_the_bsc_4.txt, 1528, 4
m13c_mary_anne_and_the_library_mystery_6.txt, 1719, 6
m33c_stacey_and_the_stolen_hearts_13.txt, 1602, 13
060c_mary_annes_makeover_1.txt, 2151, 1
108c_dont_give_up_mallory_10.txt, 1675, 10
m26c_dawn_schafer_undercover_babysitter_12.txt, 1766, 12
122c_kristy_in_charge_15.txt, 1326, 15
085c_claudia_kishi_live_from_wsto_11.txt, 1371, 11
008c_boy_crazy_stacey_13.txt, 1202, 13
m24c_mary_anne_and_the_silent_witness_2.txt, 2433, 2
129c_kristy_at_bat_8.txt, 1938, 8
070c_stacey_and_the_cheerleaders_3.txt, 2501, 3
031c_dawns_wicked_stepsister_13.txt, 1850, 13
m09c_kristy_and_the_haunted_mansion_11.txt, 1434, 11
001c_kristys_great_idea_4.txt, 2068, 4
004c_mary_anne_saves_the_day_1.txt, 2767, 1
099c_staceys_broken_heart_6.txt, 1706, 6
005c_dawn_and_the_impossible_three_4.txt, 1689, 4
035c_jessis_babysitter_8.txt, 1230, 8
serr3c_shannons_story_4.txt, 2871, 4
012c_claudia_and_the_new_girl_6.txt, 1946, 6
131c_the_fire_at_mary_annes_house_3.txt, 1424, 3
098c_dawn_and_too_many_sitters_8.txt, 1442, 8
112c_kristy_and_the_sister_war_3.txt, 1578, 3
007c_claudia_and_mean_jeanine_1.txt, 2149, 1
058c_staceys_choice_15.txt, 1692, 15
011c_kristy_and_the_snobs_10.txt, 1722, 10
011c_kristy_and_the_snobs_12.txt, 1941, 12
m04c_kristy_and_the_missing_child_14.txt, 1861, 14
007c_claudia_and_mean_jeanine_3.txt, 1481, 3
112c_kristy_and_the_sister_war_1.txt, 1996, 1
131c_the_fire_at_mary_annes_house_1.txt, 2032, 1
012c_claudia_and_the_new_girl_4.txt, 1911, 4
m07c_dawn_and_the_disappearing_dogs_14.txt, 1937, 14
005c_dawn_and_the_impossible_three_6.txt, 2078, 6
serr3c_shannons_story_6.txt, 1121, 6
m09c_kristy_and_the_haunted_mansion_13.txt, 1963, 13
031c_dawns_wicked_stepsister_11.txt, 1743, 11
099c_staceys_broken_heart_4.txt, 2162, 4
004c_mary_anne_saves_the_day_3.txt, 2196, 3
001c_kristys_great_idea_6.txt, 2244, 6
084c_dawn_and_the_school_spirit_war_9.txt, 1567, 9
085c_claudia_kishi_live_from_wsto_8.txt, 2131, 8
008c_boy_crazy_stacey_11.txt, 1435, 11
085c_claudia_kishi_live_from_wsto_13.txt, 1347, 13
070c_stacey_and_the_cheerleaders_1.txt, 2716, 1
052c_mary_anne_plus_too_many_babies_8.txt, 1404, 8
108c_dont_give_up_mallory_12.txt, 2084, 12
060c_mary_annes_makeover_3.txt, 1299, 3
m33c_stacey_and_the_stolen_hearts_11.txt, 1726, 11
m14c_stacey_and_the_mystery_at_the_mall_9.txt, 2095, 9
m13c_mary_anne_and_the_library_mystery_4.txt, 1919, 4
083c_stacey_vs_the_bsc_6.txt, 1402, 6
046c_mary_anne_misses_logan_9.txt, 1762, 9
m26c_dawn_schafer_undercover_babysitter_10.txt, 1819, 10
119c_staceys_ex_boyfriend_11.txt, 2190, 11
017c_mary_annes_bad_luck_mystery_8.txt, 1654, 8
009c_the_ghost_at_dawns_house_7.txt, 1537, 7
101c_claudia_kishi_middle_school_dropout_9.txt, 1867, 9
m12c_dawn_and_the_surfer_ghost_4.txt, 1726, 4
031c_dawns_wicked_stepsister_4.txt, 2031, 4
008c_boy_crazy_stacey_7.txt, 1546, 7
056c_keep_out_claudia_14.txt, 1617, 14
m16c_claudia_and_the_clue_in_the_photograph_9.txt, 2086, 9
m33c_stacey_and_the_stolen_hearts_1.txt, 1262, 1
123c_claudias_big_party_7.txt, 2164, 7
012c_claudia_and_the_new_girl_10.txt, 1865, 10
066c_maid_mary_anne_1.txt, 3306, 1
041c_mary_anne_vs_logan_13.txt, 1663, 13
127c_abbys_un_valentine_15.txt, 1097, 15
091c_claudia_and_the_first_thanksgiving_2.txt, 2914, 2
051c_staceys_ex_best_friend_10.txt, 1732, 10
013c_goodbye_stacey_goodbye_5.txt, 1747, 5
117c_claudia_and_the_terrible_truth_2.txt, 2388, 2
m22c_stacey_and_the_haunted_masquerade_15.txt, 1377, 15
