filename, wordcount, series
m33c_stacey_and_the_stolen_hearts.txt, 24781, m
m36c_kristy_and_the_cat_burglar.txt, 27560, m
017c_mary_annes_bad_luck_mystery.txt, 25242, main
061c_jessi_and_the_awful_secret.txt, 26549, main
096c_abbys_lucky_thirteen.txt, 23804, main
103c_happy_holidays_jessi.txt, 23603, main
pc3c_dawns_book.txt, 23439, pc
m14c_stacey_and_the_mystery_at_the_mall.txt, 29865, m
106c_claudia_queen_of_the_seventh_grade.txt, 25176, main
048c_jessis_wish.txt, 24971, main
m06c_the_mystery_at_claudias_house.txt, 27581, m
071c_claudia_and_the_perfect_boy.txt, 28955, main
m17c_dawn_and_the_halloween_mystery.txt, 29060, m
051c_staceys_ex_best_friend.txt, 24508, main
serr3c_shannons_story.txt, 26623, main
056c_keep_out_claudia.txt, 24579, main
127c_abbys_un_valentine.txt, 24998, main
m12c_dawn_and_the_surfer_ghost.txt, 26905, m
035c_stacey_and_the_mystery_of_stoneybrook.txt, 27207, main
m19c_kristy_and_the_missing_fortune.txt, 28856, m
093c_mary_anne_and_the_memory_garden.txt, 27669, main
m25c_kristy_and_the_middle_school_vandal.txt, 26080, m
060c_mary_annes_makeover.txt, 24758, main
080c_mallory_pike_no_1_fan.txt, 27536, main
m22c_stacey_and_the_haunted_masquerade.txt, 28708, m
pc6c_abbys_book.txt, 21039, pc
014c_hello_mallory.txt, 24607, main
m13c_mary_anne_and_the_library_mystery.txt, 28432, m
120c_mary_anne_and_the_playground_fight.txt, 22458, main
064c_dawns_family_feud.txt, 23708, main
004c_mary_anne_saves_the_day.txt, 30770, main
054c_mallory_and_the_dream_horse.txt, 29581, main
052c_mary_anne_plus_too_many_babies.txt, 24905, main
m18c_stacey_and_the_mystery_at_the_empty_house.txt, 29174, m
041c_mary_anne_vs_logan.txt, 25474, main
